Additional file 4 L-DMR IDOL library ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,chr,start,end,Cell_min,cell_max,cell_mean,Cell_deconv,CD8T,CD4T,NK,Bcell,Mono,Neu,Type,Probe_rs,Probe_maf,CpG_rs,CpG_maf,SBE_rs,SBE_maf,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,Phantom4_Enhancers,Phantom5_Enhancers,DNase_Hypersensitivity_NAME,DNase_Hypersensitivity_Evidence_Count,Methyl27_Loci,Methyl450_Loci,function_group,distance,nearestGeneSymbol,nearestTranscript
cg09626678,chr2,9920169,9920170,0.201149541,0.784649305,0.433323325,Mono,0.293919445,0.298776347,0.201149541,0.335212437,0.784649305,0.686232876,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr2:9920115-9920115,chr2:9919765-9920335,3,,,Intergenic,149062,YWHAQ,uc002qzx.3
cg09689296,chr2,12866929,12866930,0.378369887,0.920254765,0.807970308,NK,0.887405307,0.890124729,0.378369887,0.920254765,0.881570086,0.890097074,II,NA,NA,NA,NA,NA,NA,,OpenSea,TRIB2;TRIB2,,,,,,TRUE,Body,9930,TRIB2,uc002rbv.4
cg09704146,chr11,102176813,102176814,0.391932954,0.935770454,0.785661119,CD4T,0.713819093,0.391932954,0.906766524,0.849344463,0.935770454,0.916333228,II,NA,NA,rs116024702,0.013032,rs116024702,0.013032,,OpenSea,,,,chr11:102176725-102177335,3,,,Intergenic,146960,TMEM123,uc001pha.3
cg09723773,chr12,132541108,132541109,0.074322049,0.9373453,0.786891542,Bcell,0.9373453,0.930234039,0.930041888,0.074322049,0.926686096,0.922719882,II,NA,NA,NA,NA,NA,NA,,OpenSea,EP400,,,chr12:132540960-132541155,3,,,Body,25338,SNORA49,uc001ujo.3
cg09793563,chr8,134539339,134539340,0.03247653,0.259395215,0.088413064,CD4T,0.092475182,0.259395215,0.069906115,0.034196915,0.03247653,0.042028428,II,rs3779926,0.119128,NA,NA,NA,NA,,OpenSea,ST3GAL1;ST3GAL1,,,,,,,5'UTR,229791,NDRG1,uc003yug.2
cg09884042,chr5,156739821,156739822,0.046747379,0.928933423,0.768783338,Bcell,0.916078968,0.900594839,0.899826032,0.046747379,0.928933423,0.920519385,II,NA,NA,NA,NA,NA,NA,,OpenSea,CYFIP2;CYFIP2;CYFIP2;CYFIP2,,,,,,,Body,32906,FNDC9,uc003lwu.2
cg09993145,chr1,25291905,25291906,0.019196475,0.877736012,0.200742055,Neu,0.019196475,0.036233775,0.021415531,0.218651018,0.031219521,0.877736012,I,NA,NA,NA,NA,NA,NA,,OpenSea,RUNX3,,,chr1:25291820-25292510,3,,TRUE,TSS1500,267106,SYF2,uc001bjt.1
cg10076040,chr9,111861377,111861378,0.590430019,0.932359958,0.845768711,CD4T,0.807792169,0.590430019,0.884915757,0.929909786,0.932359958,0.929204576,II,NA,NA,rs139449730,0.0105,NA,NA,,OpenSea,TMEM245,,,chr9:111860480-111861630,3,,,Body,164703,FAM206A,uc004bdn.3
cg10217454,chr6,218489,218490,0.037534373,0.933335011,0.771427617,Bcell,0.933335011,0.928227139,0.909941234,0.037534373,0.907257817,0.91227013,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr6:218105-218835,3,,,Intergenic,73610,DUSP22,uc011dhn.1
cg10264728,chr16,58894022,58894023,0.024409468,0.314312372,0.085665053,NK,0.054547407,0.040148055,0.314312372,0.055735973,0.024837042,0.024409468,II,rs9928064,0.026902,NA,NA,NA,NA,,OpenSea,,,,chr16:58893920-58894150,3,,,Intergenic,344638,SETD6,uc010cdl.2
cg10330847,chr3,141031715,141031716,0.786968497,0.948738749,0.916509022,NK,0.948738749,0.937899231,0.786968497,0.946680567,0.945195243,0.933571844,II,NA,NA,NA,NA,NA,NA,chr3:141030498-141030804,S_Shore,,,,chr3:141031620-141031890,3,,TRUE,Intergenic,11338,ZBTB38,uc003etw.3
cg10383428,chr12,6604190,6604191,0.530778632,0.883153115,0.666752333,Mono,0.593955127,0.604519758,0.530778632,0.75952835,0.883153115,0.628579018,II,NA,NA,NA,NA,NA,NA,chr12:6602360-6602586,S_Shore,NCAPD2,,,chr12:6604085-6604470,3,TRUE,TRUE,5'UTR,891,NCAPD2,uc009zen.1
cg10407106,chr7,99779719,99779720,0.3324317,0.894777584,0.771270117,CD8T,0.3324317,0.756937133,0.869826452,0.883856315,0.894777584,0.889791519,II,NA,NA,NA,NA,NA,NA,,OpenSea,STAG3;STAG3;STAG3;STAG3;STAG3;STAG3;STAG3;STAG3,,,,,,,NA,18671,STAG3,uc003uub.1
cg10422093,chr21,16868472,16868473,0.268989717,0.812006659,0.687742339,Mono,0.784511609,0.753137875,0.795571319,0.812006659,0.268989717,0.712236855,II,rs6650845,0.046661,NA,NA,NA,NA,,OpenSea,,,,chr21:16868380-16868630,3,,,Intergenic,234022,USP25,uc002yjy.1
cg10480329,chr2,27011850,27011851,0.067430702,0.947401875,0.78575455,Mono,0.947401875,0.942157505,0.942139238,0.937639776,0.067430702,0.877758204,II,NA,NA,NA,NA,NA,NA,chr2:27008760-27009465,S_Shelf,CENPA;CENPA,,,chr2:27011820-27012175,3,,TRUE,Body,2967,CENPA,uc002rhr.3
cg10508535,chr2,54320114,54320115,0.23170771,0.875459989,0.688790598,CD4T,0.716462039,0.23170771,0.875459989,0.574996497,0.869436708,0.864680644,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr2:54320060-54320515,3,,,Intergenic,122136,PSME4,uc002rxp.2
cg10526559,chr13,23952424,23952425,0.027775475,0.319860758,0.101118918,NK,0.140947853,0.047905438,0.319860758,0.028776245,0.027775475,0.041447739,II,NA,NA,NA,NA,NA,NA,chr13:23949134-23949940,S_Shelf,SACS,,,chr13:23952260-23952655,3,,,Body,40684,SACS-AS1,uc001uor.2
cg10578938,chr5,156695410,156695411,0.055400307,0.606064387,0.233094191,Mono,0.055400307,0.074524647,0.316800044,0.162435231,0.606064387,0.183340529,II,NA,NA,NA,NA,NA,NA,chr5:156692812-156693749,S_Shore,CYFIP2;CYFIP2;CYFIP2,,,,,,TRUE,5'UTR,77317,FNDC9,uc003lwu.2
cg10613215,chr6,143234755,143234756,0.028654099,0.88984888,0.185828589,Neu,0.030035619,0.035198273,0.036952779,0.028654099,0.094281887,0.88984888,II,rs57012870,0.136139,NA,NA,NA,NA,,OpenSea,HIVEP2,,chr6:143234736-143234736,chr6:143234680-143234955,3,,,5'UTR,275728,LOC153910,uc003qjc.1
cg10624395,chr11,110350574,110350575,0.120889861,0.932877983,0.790223308,Mono,0.931509912,0.91145434,0.932877983,0.917143308,0.120889861,0.927464442,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr11:110349845-110350850,3,,TRUE,Intergenic,109833,ARHGAP20,uc001plb.2
cg10727316,chr17,65431313,65431314,0.025421763,0.926140211,0.184940714,Bcell,0.032568402,0.045615289,0.038992157,0.926140211,0.040906462,0.025421763,II,NA,NA,NA,NA,NA,NA,,OpenSea,PITPNC1;PITPNC1,,,chr17:65431220-65431615,3,,,Body,282746,NOL11,uc002jgd.1
cg10796068,chr19,10957709,10957710,0.086267523,0.924696289,0.742717436,NK,0.744916978,0.887247905,0.086267523,0.898543497,0.924696289,0.914632421,II,rs11880504,0.060731,NA,NA,NA,NA,,OpenSea,C19orf38,,,,,,TRUE,TSS1500,10725,TMED1,uc002mpy.3
cg10801165,chr12,46748373,46748374,0.271061671,0.718198504,0.433124994,CD8T,0.718198504,0.463545802,0.408738805,0.449609182,0.271061671,0.287595998,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,10715,SLC38A2,uc010sli.2
cg10914422,chr8,22942730,22942731,0.064090131,0.933087395,0.785679966,Neu,0.932276802,0.932324877,0.923413696,0.933087395,0.928886892,0.064090131,II,rs72607402,0.184894,NA,NA,NA,NA,,OpenSea,LOC254896,,,,,,,Body,17595,TNFRSF10C,uc003xcy.3
cg10981962,chr6,90312516,90312517,0.461272303,0.91283406,0.820148671,NK,0.860005946,0.875125885,0.461272303,0.91283406,0.909470571,0.902183262,II,NA,NA,NA,NA,NA,NA,,OpenSea,ANKRD6,,,,,,TRUE,Body,18415,ANKRD6,uc003pnj.4
cg11014468,chr3,53362965,53362966,0.131876675,0.943583315,0.80358032,Neu,0.942970932,0.937425107,0.928747459,0.943583315,0.936878434,0.131876675,II,NA,NA,NA,NA,NA,NA,,OpenSea,DCP1A,,,chr3:53362780-53363315,3,,TRUE,Body,18687,DCP1A,uc021wzi.1
cg11107598,chr13,44833178,44833179,0.048745817,0.603828299,0.249922561,CD8T,0.603828299,0.346823526,0.349478255,0.100777477,0.048745817,0.049881991,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr13:44833005-44833515,3,,,Intergenic,100819,SMIM2-IT1,uc031qlj.1
cg11117926,chr2,240588379,240588380,0.503625616,0.921152578,0.822231811,CD4T,0.79528937,0.503625616,0.901644732,0.902936756,0.921152578,0.908741814,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr2:240587985-240588455,3,,,Intergenic,96173,LOC150935,uc021vzc.2
cg11135202,chr6,91176262,91176263,0.639943074,0.951689093,0.886516281,CD4T,0.893475738,0.639943074,0.932287216,0.951528522,0.951689093,0.950174043,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr6:91176165-91176635,3,,,Intergenic,70673,MAP3K7,uc003pny.2
cg11245017,chr1,186274231,186274232,0.332881078,0.802204109,0.654943767,CD4T,0.586064359,0.332881078,0.802204109,0.781661674,0.714226226,0.712625156,II,NA,NA,NA,NA,NA,NA,,OpenSea,PRG4;PRG4;PRG4;PRG4;PRG4;MIR548F1;RNU6-72P,,,chr1:186274145-186274430,3,,,Body,8252,PRG4,uc010poo.2
cg11322877,chrX,130965143,130965144,0.032545249,0.685068325,0.239916618,CD8T,0.685068325,0.499220019,0.07081251,0.118260711,0.032545249,0.033592893,II,NA,NA,NA,NA,NA,NA,,OpenSea,LOC286467,,,chrX:130964585-130965175,3,,TRUE,TSS1500,471,FIRRE,uc004ewi.3
cg11324978,chr6,14110577,14110578,0.344100223,0.862060375,0.556738268,Mono,0.408288616,0.344100223,0.560233299,0.461178272,0.862060375,0.704568823,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr6:14110260-14110690,3,,,Intergenic,295784,MCUR1,uc003nbc.2
cg11357008,chr19,55449446,55449447,0.029476009,0.325703942,0.092449638,NK,0.069499392,0.063726459,0.325703942,0.0298484,0.029476009,0.036443627,II,NA,NA,NA,NA,NA,NA,chr19:55450822-55451128,N_Shore,NLRP7;NLRP7;NLRP7,,,chr19:55449325-55449655,3,,,Body,31937,NCR1,uc002qib.2
cg11357374,chr1,100889474,100889475,0.56706632,0.917437079,0.816302668,CD4T,0.762301897,0.56706632,0.906286729,0.857720498,0.917437079,0.887003487,II,NA,NA,NA,NA,NA,NA,,OpenSea,CDC14A;CDC14A;CDC14A,,,,,,,Body,71450,CDC14A,uc009wec.1
cg11514097,chr1,2187762,2187763,0.031817495,0.627548262,0.153866922,Bcell,0.064627581,0.084678522,0.039655406,0.627548262,0.074874265,0.031817495,II,NA,NA,NA,NA,NA,NA,,OpenSea,SKI,,,chr1:2186785-2187855,3,,,Body,27627,SKI,uc001aja.4
cg11525052,chr11,2321955,2321956,0.045251633,0.639234313,0.207893728,CD4T,0.188038774,0.639234313,0.102020717,0.22458464,0.048232291,0.045251633,II,NA,NA,NA,NA,NA,NA,,OpenSea,C11orf21;TSPAN32;C11orf21,,,chr11:2321520-2322075,3,,TRUE,Body,1186,C11orf21,uc001lvv.2
cg11551565,chr3,13697126,13697127,0.210282454,0.521954126,0.310484472,CD8T,0.521954126,0.391488434,0.258645696,0.266375465,0.214160659,0.210282454,II,NA,NA,NA,NA,NA,NA,chr3:13696627-13697127,Island,LOC285375,,,chr3:13696820-13697455,3,,TRUE,Body,224490,WNT7A,uc003bye.1
cg11585288,chr3,196359989,196359990,0.044933841,0.339797709,0.12813085,CD8T,0.339797709,0.193755227,0.065125028,0.077574024,0.047599268,0.044933841,II,rs73892909,0.070906,NA,NA,NA,NA,chr3:196359201-196359684,S_Shore,LINC01063,,,chr3:196359685-196360055,3,,,TSS1500,64575,WDR53,uc003fwt.3
cg11603365,chr14,61970209,61970210,0.037579959,0.436420369,0.160078952,Mono,0.047762644,0.055080232,0.04501559,0.037579959,0.436420369,0.338614917,II,rs7160922,0.10137,NA,NA,NA,NA,,OpenSea,PRKCH,,,chr14:61969845-61970555,3,,,Body,26323,PRKCH,uc010tsb.2
cg11612354,chr5,157023724,157023725,0.019592898,0.432825229,0.09891808,Neu,0.027814028,0.024322051,0.055142035,0.019592898,0.033812241,0.432825229,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr5:157023315-157023315,chr5:157023540-157023835,3,,,Intergenic,74835,C5orf52,uc011ddt.2
cg11689625,chr4,154386689,154386690,0.037176529,0.48018356,0.190575144,CD8T,0.48018356,0.284207216,0.19984739,0.10178649,0.040249677,0.037176529,II,NA,NA,NA,NA,NA,NA,chr4:154386834-154388183,N_Shore,KIAA0922;KIAA0922,,,chr4:154386185-154388215,3,,TRUE,TSS1500,807,TMEM131L,uc003inm.4
cg11773391,chr2,152628341,152628342,0.030810186,0.947350292,0.790010412,Bcell,0.947350292,0.937123925,0.939191705,0.030810186,0.94592073,0.939665633,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr2:152627978-152627978,chr2:152628085-152628430,3,,,Intergenic,308942,RIF1,uc002txp.3
cg11775828,chr2,169100915,169100916,0.094989969,0.735133145,0.342879385,Mono,0.157874829,0.14225078,0.094989969,0.408379522,0.735133145,0.518648066,II,NA,NA,NA,NA,NA,NA,chr2:169102950-169104454,N_Shelf,STK39,,,chr2:169100720-169101210,3,,TRUE,Body,211842,CERS6,uc002ueb.2
cg11826773,chr2,241645733,241645734,0.073401561,0.889116872,0.733600423,Mono,0.889116872,0.888851122,0.843432447,0.821274743,0.073401561,0.885525794,II,NA,NA,rs114850967,0.025599,NA,NA,,OpenSea,,,,chr2:241645665-241645930,3,,,Intergenic,18531,KIF1A,uc002vzw.3
cg11870153,chr6,166756767,166756768,0.026110697,0.452845561,0.149829068,CD8T,0.452845561,0.271577536,0.094311061,0.026244214,0.027885338,0.026110697,II,NA,NA,NA,NA,NA,NA,chr6:166755812-166756510,S_Shore,LOC100289495;SFT2D1;SFT2D1;SFT2D1;SFT2D1,,,chr6:166756265-166756890,3,,,Body,39732,MPC1,uc021zie.2
cg11958949,chr6,151701920,151701921,0.092838533,0.824058889,0.325526551,Neu,0.224058196,0.306815601,0.092838533,0.281939261,0.223448827,0.824058889,II,NA,NA,NA,NA,NA,NA,,OpenSea,ZBTB2,,,chr6:151701580-151702070,3,,,5'UTR,39098,AKAP12,uc003qog.3
cg11960708,chr6,26226256,26226257,0.595412254,0.94877889,0.886195831,NK,0.939131753,0.941771471,0.595412254,0.94877889,0.948650464,0.943430158,II,rs56360223,0.060384,NA,NA,NA,NA,chr6:26225386-26225790,S_Shore,,,,chr6:26226120-26226535,3,,TRUE,Intergenic,872,HIST1H3E,uc003nhc.4
cg11991412,chr21,32546573,32546574,0.023215814,0.587355932,0.163386106,CD8T,0.587355932,0.104672021,0.169065572,0.071480839,0.024526456,0.023215814,II,rs2833324,0.090702,NA,NA,NA,NA,,OpenSea,TIAM1,,,chr21:32546420-32546890,3,,,Body,102649,TIAM1,uc011adk.1
cg12034775,chr7,98970857,98970858,0.770719119,0.945491685,0.905563224,CD8T,0.770719119,0.90517658,0.940527418,0.93563768,0.945491685,0.935826861,II,NA,NA,NA,NA,NA,NA,chr7:98971649-98973170,N_Shore,ARPC1B,,,,,,,TSS1500,1439,ARPC1B,uc003upz.3
cg12082346,chr3,195844910,195844911,0.024726582,0.794370387,0.247311627,CD4T,0.505868655,0.794370387,0.077500039,0.024726582,0.02993699,0.051467111,II,rs62408945,0.013711,NA,NA,NA,NA,,OpenSea,,,,chr3:195844665-195845215,3,,,Intergenic,24595,LINC00885,uc011bts.2
cg12092786,chr22,42332408,42332409,0.044358532,0.919387374,0.768894195,Bcell,0.91455195,0.913857976,0.914195232,0.044358532,0.919387374,0.907014105,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr22:42332206-42332206,chr22:42332225-42332515,3,,,Intergenic,3813,CENPM,uc010gyq.3
cg12132133,chr2,66664345,66664346,0.03512996,0.511908053,0.180772027,NK,0.209419594,0.176891281,0.511908053,0.115807246,0.03512996,0.035476026,II,NA,NA,NA,NA,NA,NA,chr2:66660452-66660794,S_Shelf,MEIS1,,,chr2:66664065-66665235,3,,,Body,522,MEIS1,uc010yqh.2
cg12145363,chr11,119767389,119767390,0.057292632,0.792415578,0.614025275,NK,0.674858528,0.792415578,0.057292632,0.754205668,0.763109753,0.64226949,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,225310,TRIM29,uc001pwx.3
cg12274883,chr6,159538356,159538357,0.161273439,0.921404493,0.779965335,Mono,0.910813637,0.919645851,0.921404493,0.869465239,0.161273439,0.897189354,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr6:159538261-159538261,chr6:159538100-159538415,3,,,Intergenic,72171,TAGAP,uc003qrz.3
cg12377473,chr11,128494797,128494798,0.043790037,0.722816117,0.260785883,Mono,0.043790037,0.064589718,0.048031667,0.127305746,0.722816117,0.558182011,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr11:128494145-128495095,3,,,Intergenic,37343,ETS1,uc001qej.2
cg12402033,chr19,35787037,35787038,0.031843321,0.298853844,0.096270404,CD4T,0.137954978,0.298853844,0.039244622,0.031843321,0.035455959,0.034269702,II,NA,NA,NA,NA,NA,NA,chr19:35786551-35786962,S_Shore,MAG;MAG;MAG,,,chr19:35786445-35787115,3,,,Body,4047,MAG,uc002nyx.2
cg12419766,chr7,157620445,157620446,0.608375937,0.971766495,0.897627907,CD4T,0.902156961,0.608375937,0.962994201,0.971766495,0.971508448,0.968965401,I,rs10225098,0.131944,NA,NA,NA,NA,chr7:157618856-157619302,S_Shore,PTPRN2;PTPRN2;PTPRN2,,,chr7:157620265-157620635,3,,TRUE,Body,26830,LOC100506585,uc003wns.3
cg12604490,chr6,99373813,99373814,0.055948909,0.924671751,0.769279806,Bcell,0.924671751,0.901694205,0.915213556,0.055948909,0.91592735,0.902223068,II,NA,NA,NA,NA,NA,NA,,OpenSea,FBXL4,,,,,,TRUE,Body,91232,POU3F2,uc003ppe.3
cg12621097,chr9,88151643,88151644,0.097864264,0.919535352,0.778447041,Neu,0.919535352,0.908389926,0.907960253,0.919525185,0.917407266,0.097864264,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr9:88151460-88151650,3,,,Intergenic,269272,LOC389765,uc004aog.2
cg12627299,chr11,66444235,66444236,0.598758456,0.817408099,0.762292003,CD8T,0.598758456,0.744727502,0.798139579,0.810787949,0.817408099,0.803930432,II,NA,NA,NA,NA,NA,NA,chr11:66444997-66445471,N_Shore,RBM4B,,,,,,TRUE,Body,982,RBM4B,uc001oja.3
cg12629689,chr1,45803944,45803945,0.52763708,0.935570705,0.844810074,NK,0.896386176,0.910567872,0.52763708,0.875405168,0.935570705,0.923293442,II,NA,NA,NA,NA,NA,NA,chr1:45805564-45805983,N_Shore,MUTYH;MUTYH;MUTYH;TOE1;MUTYH;MUTYH;MUTYH,,,chr1:45803665-45804095,3,,TRUE,5'UTR,1396,TOE1,uc009vxq.3
cg12687701,chr6,3389092,3389093,0.043473617,0.913445945,0.754944383,Bcell,0.894181454,0.901299805,0.86918563,0.043473617,0.908079845,0.913445945,II,NA,NA,NA,NA,NA,NA,,OpenSea,SLC22A23;SLC22A23;SLC22A23;SLC22A23;SLC22A23,,,chr6:3389040-3389235,3,,,Body,56124,SLC22A23,uc003mvn.3
cg12711722,chr10,26757989,26757990,0.029757113,0.57953714,0.141816688,Mono,0.029757113,0.032263337,0.030457695,0.033186547,0.57953714,0.145698296,II,NA,NA,rs12243579,0.016317,NA,NA,,OpenSea,APBB1IP,,,chr10:26757625-26758015,3,,,5'UTR,30722,APBB1IP,uc001isr.3
cg12800932,chr7,158611626,158611627,0.037780563,0.84261,0.239989062,Bcell,0.057189355,0.118445115,0.037780563,0.84261,0.042729626,0.341179715,II,NA,NA,NA,NA,NA,NA,,OpenSea,ESYT2,,,chr7:158611080-158611915,3,,,Body,10691,ESYT2,uc003wob.1
cg12978119,chr2,88896127,88896128,0.706454007,0.933440863,0.887119112,NK,0.920758808,0.913210143,0.706454007,0.929686129,0.933440863,0.919164721,II,NA,NA,NA,NA,NA,NA,,OpenSea,EIF2AK3,,,chr2:88896060-88896250,3,,,Body,30965,EIF2AK3,uc002stc.4
cg13022415,chr17,465530,465531,0.091312358,0.932166295,0.771650115,Neu,0.923304311,0.924793066,0.913940083,0.932166295,0.844384576,0.091312358,II,NA,NA,NA,NA,NA,NA,,OpenSea,VPS53;VPS53,,,chr17:465480-465750,3,,,Body,39296,VPS53,uc031qxs.1
cg13063614,chr11,119020779,119020780,0.311310949,0.652366881,0.413618197,CD8T,0.652366881,0.54768552,0.311310949,0.319932697,0.323412126,0.327001006,II,NA,NA,NA,NA,NA,NA,chr11:119019643-119020887,Island,ABCG4;ABCG4,,,chr11:119020620-119020915,3,,TRUE,Body,479,ABCG4,uc009zar.3
cg13121392,chr1,43401136,43401137,0.032648801,0.712272454,0.207405262,CD4T,0.349349932,0.712272454,0.05750167,0.032648801,0.034139022,0.058519696,II,NA,NA,NA,NA,NA,NA,,OpenSea,SLC2A1,,chr1:43400932-43400932,chr1:43400940-43401190,3,,,Body,23709,SLC2A1,uc001cik.2
cg13190003,chr1,173193738,173193739,0.072596349,0.930937172,0.773666301,Neu,0.930634876,0.915215038,0.910703698,0.930937172,0.88191067,0.072596349,II,rs111751966,0.043666,NA,NA,NA,NA,,OpenSea,,,,chr1:173193425-173193790,3,,,Intergenic,17266,TNFSF4,uc001giw.3
cg13217762,chr10,17264509,17264510,0.103306852,0.878413893,0.708900448,Mono,0.878413893,0.864099164,0.840788984,0.780695444,0.103306852,0.786098351,II,rs10752073,0.116108,NA,NA,NA,NA,,OpenSea,VIM-AS1;VIM-AS1,,chr10:17264441-17264441,chr10:17264225-17264590,3,,,Body,20438,TRDMT1,uc001iop.3
cg13233827,chr11,17528847,17528848,0.476844805,0.930376587,0.813909971,NK,0.8211051,0.873792729,0.476844805,0.860770073,0.92057053,0.930376587,II,NA,NA,NA,NA,NA,NA,,OpenSea,USH1C;USH1C;USH1C;USH1C,,,,,,,Body,40071,OTOG,uc031pzc.1
cg13250661,chr3,151960339,151960340,0.328621908,0.859123418,0.461737432,Bcell,0.376526194,0.328621908,0.366989982,0.859123418,0.459323556,0.379839532,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,368907,SUCNR1,uc003ezf.2
cg13274612,chr19,14223520,14223521,0.110308561,0.870911295,0.710283486,Mono,0.868055037,0.856107446,0.870911295,0.870126639,0.110308561,0.686191938,II,NA,NA,NA,NA,NA,NA,,OpenSea,PRKACA;PRKACA,,,chr19:14223245-14223835,3,,,Body,1470,PRKACA,uc002myb.3
cg13315450,chr2,220114289,220114290,0.056282641,0.493770977,0.134911587,NK,0.061926226,0.064242172,0.493770977,0.05973548,0.073512024,0.056282641,II,NA,NA,NA,NA,NA,NA,chr2:220117937-220119334,N_Shelf,STK16;STK16,,,chr2:220113780-220114735,3,,TRUE,Body,4087,STK16,uc010zky.2
cg13357602,chr6,30655720,30655721,0.027979305,0.640863196,0.242117786,CD8T,0.640863196,0.363175146,0.320988928,0.028713267,0.027979305,0.070986874,I,NA,NA,NA,NA,NA,NA,chr6:30654392-30654934,S_Shore,KIAA1949;KIAA1949,,,chr6:30655605-30656215,3,,TRUE,TSS1500,47,PPP1R18,uc003nrb.4
cg13424923,chr2,65258738,65258739,0.073693481,0.37018517,0.163707907,NK,0.224616373,0.12252051,0.37018517,0.073693481,0.095058714,0.096173194,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr2:65258480-65259350,3,,TRUE,Intergenic,24755,CEP68,uc002sdj.2
cg13468685,chr2,68592737,68592738,0.033445812,0.899638469,0.309267828,CD4T,0.643377242,0.899638469,0.074058817,0.170344564,0.034742063,0.033445812,II,rs78459381,0.020586,NA,NA,NA,NA,,OpenSea,PLEK,,,,,TRUE,TRUE,Body,101651,FBXO48,uc002seo.3
cg13571479,chr7,2077345,2077346,0.214312831,0.700179355,0.493442948,CD8T,0.214312831,0.446869218,0.700179355,0.494592009,0.562578214,0.542126061,II,NA,NA,NA,NA,NA,NA,,OpenSea,MAD1L1;MAD1L1;MAD1L1,,chr7:2077094-2077094,chr7:2077045-2077870,3,,TRUE,Body,178297,MAD1L1,uc003sle.1
cg13699412,chr4,101958635,101958636,0.057963235,0.936079634,0.782492574,Neu,0.936079634,0.928628612,0.9194825,0.93222556,0.920575903,0.057963235,II,rs2037773,0.140698,NA,NA,NA,NA,,OpenSea,PPP3CA;PPP3CA;PPP3CA,,,chr4:101958460-101958715,3,,,Body,309991,PPP3CA,uc003hvs.2
cg13708055,chr15,86123699,86123700,0.038885975,0.938079791,0.727248453,Mono,0.938079791,0.914551433,0.920220919,0.77569384,0.038885975,0.77605876,II,NA,NA,NA,NA,NA,NA,,OpenSea,AKAP13;AKAP13,,,chr15:86123220-86123875,3,,,Body,2444,AKAP13,uc010bne.1
cg13823257,chr9,35666823,35666824,0.075555352,0.934886282,0.784410662,Bcell,0.928613284,0.921434529,0.934886282,0.075555352,0.927830867,0.918143658,II,NA,NA,NA,NA,NA,NA,chr9:35665059-35665364,S_Shore,,,,,,,TRUE,Intergenic,7090,CA9,uc003zxo.4
cg13852284,chr10,77548353,77548354,0.06939158,0.911138764,0.741517804,Neu,0.847030419,0.853303367,0.871437097,0.911138764,0.896805598,0.06939158,II,NA,NA,NA,NA,NA,NA,,OpenSea,C10orf11,,,chr10:77548125-77548610,3,,TRUE,Body,5833,LRMDA,uc001jxi.3
cg13937163,chr6,112356900,112356901,0.033001662,0.83263259,0.285599784,Bcell,0.107940175,0.033001662,0.115855473,0.83263259,0.466010693,0.158158109,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr6:112356617-112356617,chr6:112356680-112357015,3,,,Intergenic,162244,FYN,uc003pvk.3
cg14047092,chr2,122262844,122262845,0.095943435,0.937119844,0.775116173,NK,0.843371714,0.911960687,0.095943435,0.935490915,0.937119844,0.926810441,II,NA,NA,NA,NA,NA,NA,,OpenSea,CLASP1;CLASP1;CLASP1;CLASP1,,,chr2:122262600-122263075,3,,,Body,25610,RNU4ATAC,uc010yzd.1
cg14063530,chr22,17702092,17702093,0.030886654,0.462973898,0.132045767,NK,0.105622717,0.055968347,0.462973898,0.032791423,0.030886654,0.104031565,II,rs12170433,0.021958,NA,NA,NA,NA,,OpenSea,CECR1,,,chr22:17702020-17702195,3,,,5'UTR,644,ADA2,uc011agi.1
cg14085952,chr9,139496844,139496845,0.218983901,0.881028838,0.700845972,CD4T,0.729542324,0.218983901,0.875317843,0.719663907,0.78053902,0.881028838,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr9:139496605-139497075,3,,TRUE,Intergenic,56132,MIR4674,uc022bpr.1
cg14133557,chr9,113802005,113802006,0.059913845,0.781291847,0.612588089,NK,0.781291847,0.749071157,0.059913845,0.69878065,0.681760313,0.704710722,II,NA,NA,NA,NA,NA,NA,chr9:113799913-113801375,S_Shore,,,,chr9:113801785-113802175,3,,TRUE,Intergenic,370953,MUSK,uc004bez.2
